('entry_number', 'gps_time', 'rpm', 'water temp', 'oil pressure', 'pyrometer 1', 'pyrometer 2', 'gps longitude', 'gps latitude', 'gps speed', 'gps acceleration', 'system down')
1,14.2,10,water temp,oil pressure,pyrometer 1,pyrometer 2,gps longitude,gps latitude,gps speed,gps acceleration,system down
2,14.2,10,water temp,oil pressure,pyrometer 1,pyrometer 2,gps longitude,gps latitude,gps speed,gps acceleration,system down
3,14.2,10,water temp,oil pressure,pyrometer 1,pyrometer 2,gps longitude,gps latitude,gps speed,gps acceleration,system down
4,14.2,10,water temp,oil pressure,pyrometer 1,pyrometer 2,gps longitude,gps latitude,gps speed,gps acceleration,system down
5,14.2,10,water temp,oil pressure,pyrometer 1,pyrometer 2,gps longitude,gps latitude,gps speed,gps acceleration,system down
6,14.2,10,water temp,oil pressure,pyrometer 1,pyrometer 2,gps longitude,gps latitude,gps speed,gps acceleration,system down
7,14.2,10,water temp,oil pressure,pyrometer 1,pyrometer 2,gps longitude,gps latitude,gps speed,gps acceleration,system down
8,14.2,10,water temp,oil pressure,pyrometer 1,pyrometer 2,gps longitude,gps latitude,gps speed,gps acceleration,system down
9,14.2,10,water temp,oil pressure,pyrometer 1,pyrometer 2,gps longitude,gps latitude,gps speed,gps acceleration,system down
10,14.2,10,water temp,oil pressure,pyrometer 1,pyrometer 2,gps longitude,gps latitude,gps speed,gps acceleration,system down
11,14.2,10,water temp,oil pressure,pyrometer 1,pyrometer 2,gps longitude,gps latitude,gps speed,gps acceleration,system down
